@runq_delay_us: 
[8, 16)                1 |@                                                   |

@per_proc[systemd-oomd]: 
[1]                    3 |@@@@                                                |
[2, 4)                32 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                20 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[8, 16)                1 |@                                                   |
[16, 32)               1 |@                                                   |
[32, 64)               0 |                                                    |
[64, 128)              1 |@                                                   |

@per_proc[migration/7]: 
[1]                    1 |@                                                   |
[2, 4)                28 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                17 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[8, 16)                2 |@@@                                                 |
[16, 32)               0 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              1 |@                                                   |
[1K, 2K)               1 |@                                                   |
[2K, 4K)               3 |@@@@@                                               |
[4K, 8K)               3 |@@@@@                                               |
[8K, 16K)              2 |@@@                                                 |
[16K, 32K)             1 |@                                                   |

@per_proc[ksoftirqd/6]: 
[2, 4)                22 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                11 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[8, 16)               21 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[16, 32)               5 |@@@@@@@@@@@                                         |
[32, 64)               2 |@@@@                                                |
[64, 128)              1 |@@                                                  |
[128, 256)             1 |@@                                                  |

@per_proc[l2arc_feed]: 
[1]                    9 |@@@@@@@@@@@@@                                       |
[2, 4)                35 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                14 |@@@@@@@@@@@@@@@@@@@@                                |
[8, 16)                8 |@@@@@@@@@@@                                         |
[16, 32)               2 |@@                                                  |
[32, 64)               0 |                                                    |
[64, 128)              1 |@                                                   |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              0 |                                                    |
[1K, 2K)               1 |@                                                   |

@per_proc[tr]: 
[2, 4)                66 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 3 |@@                                                  |
[8, 16)                1 |                                                    |
[16, 32)               0 |                                                    |
[32, 64)               1 |                                                    |

@per_proc[ksoftirqd/5]: 
[1]                    1 |@                                                   |
[2, 4)                32 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                13 |@@@@@@@@@@@@@@@@@@@@@                               |
[8, 16)                8 |@@@@@@@@@@@@@                                       |
[16, 32)              14 |@@@@@@@@@@@@@@@@@@@@@@                              |
[32, 64)               2 |@@@                                                 |
[64, 128)              0 |                                                    |
[128, 256)             1 |@                                                   |

@per_proc[dbuf_evict]: 
[1]                    4 |@@@@@@                                              |
[2, 4)                33 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                27 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@          |
[8, 16)                4 |@@@@@@                                              |
[16, 32)               3 |@@@@                                                |

@per_proc[arc_reap]: 
[1]                    5 |@@@@@@@@                                            |
[2, 4)                32 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                28 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@       |
[8, 16)                4 |@@@@@@                                              |
[16, 32)               0 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              2 |@@@                                                 |

@per_proc[arc_evict]: 
[1]                    2 |@@                                                  |
[2, 4)                44 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                17 |@@@@@@@@@@@@@@@@@@@@                                |
[8, 16)                6 |@@@@@@@                                             |
[16, 32)               1 |@                                                   |
[32, 64)               0 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              1 |@                                                   |

@per_proc[gvfs-afc-volume]: 
[1]                    2 |@@                                                  |
[2, 4)                25 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                |
[4, 8)                36 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                6 |@@@@@@@@                                            |
[16, 32)               1 |@                                                   |
[32, 64)               0 |                                                    |
[64, 128)              1 |@                                                   |

@per_proc[wpa_supplicant]: 
[1]                   13 |@@@@@@@@@@@@@                                       |
[2, 4)                51 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 4 |@@@@                                                |
[8, 16)                2 |@@                                                  |
[16, 32)               2 |@@                                                  |

@per_proc[ksoftirqd/4]: 
[1]                   11 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[2, 4)                22 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                13 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[8, 16)               12 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@                        |
[16, 32)              10 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[32, 64)               3 |@@@@@@@                                             |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             2 |@@@@                                                |

@per_proc[z_metaslab]: 
[0]                    5 |@@@@@@                                              |
[1]                   40 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                17 |@@@@@@@@@@@@@@@@@@@@@@                              |
[4, 8)                 8 |@@@@@@@@@@                                          |
[8, 16)                2 |@@                                                  |
[16, 32)               4 |@@@@@                                               |

@per_proc[spl_dynamic_tas]: 
[0]                    1 |@                                                   |
[1]                   31 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                23 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@              |
[4, 8)                 4 |@@@@@@                                              |
[8, 16)                2 |@@@                                                 |
[16, 32)               3 |@@@@@                                               |
[32, 64)               5 |@@@@@@@@                                            |
[64, 128)              1 |@                                                   |
[128, 256)             1 |@                                                   |
[256, 512)             2 |@@@                                                 |
[512, 1K)              1 |@                                                   |
[1K, 2K)               1 |@                                                   |
[2K, 4K)               1 |@                                                   |

@per_proc[kworker/3:0H]: 
[1]                    4 |@@@@                                                |
[2, 4)                49 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                21 |@@@@@@@@@@@@@@@@@@@@@@                              |
[8, 16)                3 |@@@                                                 |
[16, 32)               1 |@                                                   |

@per_proc[migration/3]: 
[2, 4)                36 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                31 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@        |
[8, 16)                3 |@@@@                                                |
[16, 32)               0 |                                                    |
[32, 64)               1 |@                                                   |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              0 |                                                    |
[1K, 2K)               0 |                                                    |
[2K, 4K)               1 |@                                                   |
[4K, 8K)               2 |@@                                                  |
[8K, 16K)              4 |@@@@@                                               |

@per_proc[ThreadPoolSingl]: 
[1]                    8 |@@@@@@@@@                                           |
[2, 4)                44 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 5 |@@@@@                                               |
[8, 16)                3 |@@@                                                 |
[16, 32)               6 |@@@@@@@                                             |
[32, 64)               4 |@@@@                                                |
[64, 128)              1 |@                                                   |
[128, 256)             8 |@@@@@@@@@                                           |
[256, 512)             0 |                                                    |
[512, 1K)              1 |@                                                   |

@per_proc[kworker/2:1H]: 
[1]                    3 |@@@                                                 |
[2, 4)                45 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                37 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@          |
[8, 16)                1 |@                                                   |
[16, 32)               4 |@@@@                                                |
[32, 64)               1 |@                                                   |

@per_proc[NetworkManager]: 
[1]                   24 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[2, 4)                51 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                11 |@@@@@@@@@@@                                         |
[8, 16)                2 |@@                                                  |
[16, 32)               3 |@@@                                                 |
[32, 64)               0 |                                                    |
[64, 128)              1 |@                                                   |
[128, 256)             4 |@@@@                                                |

@per_proc[iio-sensor-prox]: 
[1]                    5 |@@@@@                                               |
[2, 4)                49 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                43 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@       |
[8, 16)                2 |@@                                                  |
[16, 32)               1 |@                                                   |
[32, 64)               1 |@                                                   |

@per_proc[hwrng]: 
[0]                   92 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[1]                   21 |@@@@@@@@@@@                                         |
[2, 4)                 9 |@@@@@                                               |

@per_proc[kworker/1:1H]: 
[1]                   13 |@@@@@                                               |
[2, 4)               114 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                 1 |                                                    |
[8, 16)                0 |                                                    |
[16, 32)               1 |                                                    |

@per_proc[kworker/6:2]: 
[1]                    7 |@@@@@@@                                             |
[2, 4)                26 |@@@@@@@@@@@@@@@@@@@@@@@@@@                          |
[4, 8)                51 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                7 |@@@@@@@                                             |
[16, 32)              25 |@@@@@@@@@@@@@@@@@@@@@@@@@                           |
[32, 64)               3 |@@@                                                 |
[64, 128)              2 |@@                                                  |
[128, 256)             1 |@                                                   |
[256, 512)             0 |                                                    |
[512, 1K)              7 |@@@@@@@                                             |

@per_proc[kworker/0:1H]: 
[1]                    3 |@                                                   |
[2, 4)                96 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                27 |@@@@@@@@@@@@@@                                      |
[8, 16)                5 |@@                                                  |

@per_proc[SPARQL endpoint]: 
[0]                    1 |                                                    |
[1]                    7 |@@@@@                                               |
[2, 4)                65 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                11 |@@@@@@@@                                            |
[8, 16)                6 |@@@@                                                |
[16, 32)              17 |@@@@@@@@@@@@@                                       |
[32, 64)              25 |@@@@@@@@@@@@@@@@@@@@                                |
[64, 128)              1 |                                                    |

@per_proc[JS Helper]: 
[0]                    1 |                                                    |
[1]                    7 |@@@@                                                |
[2, 4)                77 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                13 |@@@@@@@@                                            |
[8, 16)               10 |@@@@@@                                              |
[16, 32)              13 |@@@@@@@@                                            |
[32, 64)               9 |@@@@@@                                              |
[64, 128)              4 |@@                                                  |

@per_proc[mmp]: 
[0]                    1 |                                                    |
[1]                   20 |@@@@@@@@@@                                          |
[2, 4)               100 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                17 |@@@@@@@@                                            |
[8, 16)                2 |@                                                   |
[16, 32)               0 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             2 |@                                                   |

@per_proc[memcached]: 
[1]                    5 |@@@                                                 |
[2, 4)                60 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)                66 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                5 |@@@                                                 |
[16, 32)               5 |@@@                                                 |
[32, 64)               0 |                                                    |
[64, 128)              1 |                                                    |

@per_proc[migration/6]: 
[2, 4)               113 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                28 |@@@@@@@@@@@@                                        |
[8, 16)                2 |                                                    |

@per_proc[migration/4]: 
[2, 4)               106 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                42 |@@@@@@@@@@@@@@@@@@@@                                |
[8, 16)                1 |                                                    |

@per_proc[mc-lrumaint]: 
[1]                    2 |                                                    |
[2, 4)               112 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                36 |@@@@@@@@@@@@@@@@                                    |
[8, 16)                0 |                                                    |
[16, 32)               0 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              1 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              2 |                                                    |

@per_proc[pool-spawner]: 
[2, 4)                75 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                70 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)                3 |@@                                                  |
[16, 32)               0 |                                                    |
[32, 64)              11 |@@@@@@@                                             |

@per_proc[migration/5]: 
[2, 4)               127 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                31 |@@@@@@@@@@@@                                        |
[8, 16)                2 |                                                    |

@per_proc[ksoftirqd/2]: 
[1]                   15 |@@@@@@@@@@@                                         |
[2, 4)                69 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                27 |@@@@@@@@@@@@@@@@@@@@                                |
[8, 16)               41 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)               7 |@@@@@                                               |
[32, 64)               1 |                                                    |
[64, 128)              1 |                                                    |
[128, 256)             3 |@@                                                  |
[256, 512)             1 |                                                    |

@per_proc[kworker/7:1H]: 
[1]                    1 |                                                    |
[2, 4)                74 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@          |
[4, 8)                91 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                3 |@                                                   |
[16, 32)               1 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              1 |                                                    |

@per_proc[kworker/2:0]: 
[1]                    7 |@@@@@                                               |
[2, 4)                48 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@             |
[4, 8)                64 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)               22 |@@@@@@@@@@@@@@@@@                                   |
[16, 32)              20 |@@@@@@@@@@@@@@@@                                    |
[32, 64)              15 |@@@@@@@@@@@@                                        |
[64, 128)              4 |@@@                                                 |
[128, 256)             4 |@@@                                                 |
[256, 512)             0 |                                                    |
[512, 1K)             11 |@@@@@@@@                                            |
[1K, 2K)               1 |                                                    |
[2K, 4K)               1 |                                                    |

@per_proc[thermald]: 
[0]                   13 |@@@@@                                               |
[1]                  119 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                39 |@@@@@@@@@@@@@@@@@                                   |
[4, 8)                30 |@@@@@@@@@@@@@                                       |
[8, 16)                5 |@@                                                  |

@per_proc[pool-tracker-ex]: 
[1]                    7 |@@@                                                 |
[2, 4)               117 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                31 |@@@@@@@@@@@@@                                       |
[8, 16)               18 |@@@@@@@@                                            |
[16, 32)              32 |@@@@@@@@@@@@@@                                      |
[32, 64)               2 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             1 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              1 |                                                    |

@per_proc[kworker/5:2]: 
[1]                    4 |@@                                                  |
[2, 4)                47 |@@@@@@@@@@@@@@@@@@@@@@@@@@@                         |
[4, 8)                88 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)               38 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)              16 |@@@@@@@@@                                           |
[32, 64)               6 |@@@                                                 |
[64, 128)              1 |                                                    |
[128, 256)             3 |@                                                   |
[256, 512)             0 |                                                    |
[512, 1K)              9 |@@@@@                                               |
[1K, 2K)               1 |                                                    |

@per_proc[ThreadPoolServi]: 
[1]                   14 |@@@@@@                                              |
[2, 4)               116 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                14 |@@@@@@                                              |
[8, 16)               11 |@@@@                                                |
[16, 32)              12 |@@@@@                                               |
[32, 64)              15 |@@@@@@                                              |
[64, 128)             21 |@@@@@@@@@                                           |
[128, 256)            11 |@@@@                                                |
[256, 512)             2 |                                                    |
[512, 1K)              1 |                                                    |
[1K, 2K)               0 |                                                    |
[2K, 4K)               1 |                                                    |

@per_proc[ksoftirqd/1]: 
[1]                   44 |@@@@@@@@@@@@@@@@@@@@@                               |
[2, 4)               105 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                44 |@@@@@@@@@@@@@@@@@@@@@                               |
[8, 16)               57 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@                        |
[16, 32)               9 |@@@@                                                |
[32, 64)               1 |                                                    |
[64, 128)              3 |@                                                   |
[128, 256)             0 |                                                    |
[256, 512)             1 |                                                    |
[512, 1K)              3 |@                                                   |

@per_proc[kworker/1:0]: 
[1]                   11 |@@@@@                                               |
[2, 4)                72 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@               |
[4, 8)               101 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)               46 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)              17 |@@@@@@@@                                            |
[32, 64)               7 |@@@                                                 |
[64, 128)              1 |                                                    |
[128, 256)             3 |@                                                   |
[256, 512)             0 |                                                    |
[512, 1K)             11 |@@@@@                                               |
[1K, 2K)               1 |                                                    |

@per_proc[cpuUsage.sh]: 
[0]                    5 |@                                                   |
[1]                   45 |@@@@@@@@@@@@@@                                      |
[2, 4)               164 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                41 |@@@@@@@@@@@@@                                       |
[8, 16)                3 |                                                    |
[16, 32)              10 |@@@                                                 |
[32, 64)              57 |@@@@@@@@@@@@@@@@@@                                  |
[64, 128)              0 |                                                    |
[128, 256)             2 |                                                    |

@per_proc[z_flush_int]: 
[0]                    4 |@                                                   |
[1]                  136 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)               102 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@             |
[4, 8)                84 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[8, 16)                4 |@                                                   |
[16, 32)               1 |                                                    |

@per_proc[txg_sync]: 
[0]                   77 |@@@@@@@@@@@@@@@@@@@@                                |
[1]                  197 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                37 |@@@@@@@@@                                           |
[4, 8)                13 |@@@                                                 |
[8, 16)                6 |@                                                   |
[16, 32)               3 |                                                    |
[32, 64)               1 |                                                    |

@per_proc[iperf3]: 
[0]                   10 |@@@                                                 |
[1]                   57 |@@@@@@@@@@@@@@@@@@@                                 |
[2, 4)               150 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                70 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[8, 16)               27 |@@@@@@@@@                                           |
[16, 32)              14 |@@@@                                                |
[32, 64)               4 |@                                                   |
[64, 128)              3 |@                                                   |
[128, 256)             1 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              0 |                                                    |
[1K, 2K)               0 |                                                    |
[2K, 4K)               3 |@                                                   |

@per_proc[migration/1]: 
[2, 4)               251 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                92 |@@@@@@@@@@@@@@@@@@@                                 |
[8, 16)                1 |                                                    |
[16, 32)               1 |                                                    |

@per_proc[sleep]: 
[1]                   11 |@@                                                  |
[2, 4)               237 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                98 |@@@@@@@@@@@@@@@@@@@@@                               |
[8, 16)                7 |@                                                   |
[16, 32)               2 |                                                    |
[32, 64)               1 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             1 |                                                    |
[256, 512)             1 |                                                    |
[512, 1K)              1 |                                                    |

@per_proc[kworker/4:1]: 
[1]                    4 |                                                    |
[2, 4)                37 |@@@@@@@                                             |
[4, 8)               262 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)               31 |@@@@@@                                              |
[16, 32)              12 |@@                                                  |
[32, 64)               8 |@                                                   |
[64, 128)              4 |                                                    |
[128, 256)             1 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)             12 |@@                                                  |
[1K, 2K)               0 |                                                    |
[2K, 4K)               1 |                                                    |

@per_proc[dp_sync_taskq]: 
[0]                   41 |@@@@@@@@                                            |
[1]                  247 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)                28 |@@@@@                                               |
[4, 8)                 7 |@                                                   |
[8, 16)               13 |@@                                                  |
[16, 32)               5 |@                                                   |
[32, 64)               7 |@                                                   |
[64, 128)              6 |@                                                   |
[128, 256)             7 |@                                                   |
[256, 512)             4 |                                                    |
[512, 1K)              1 |                                                    |
[1K, 2K)               2 |                                                    |
[2K, 4K)               4 |                                                    |

@per_proc[gmain]: 
[0]                    4 |                                                    |
[1]                   24 |@@@@@                                               |
[2, 4)               224 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                77 |@@@@@@@@@@@@@@@@@                                   |
[8, 16)               25 |@@@@@                                               |
[16, 32)               7 |@                                                   |
[32, 64)               9 |@@                                                  |
[64, 128)              1 |                                                    |
[128, 256)             3 |                                                    |
[256, 512)             2 |                                                    |

@per_proc[ksoftirqd/3]: 
[0]                    2 |                                                    |
[1]                   11 |@@                                                  |
[2, 4)               199 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                77 |@@@@@@@@@@@@@@@@@@@@                                |
[8, 16)               66 |@@@@@@@@@@@@@@@@@                                   |
[16, 32)              22 |@@@@@                                               |
[32, 64)               1 |                                                    |
[64, 128)              2 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             5 |@                                                   |
[512, 1K)              3 |                                                    |

@per_proc[libuv-worker]: 
[0]                    2 |                                                    |
[1]                   85 |@@@@@@@@@@@@@@@@                                    |
[2, 4)               276 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                11 |@@                                                  |
[8, 16)                9 |@                                                   |
[16, 32)               5 |                                                    |
[32, 64)               4 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             1 |                                                    |

@per_proc[dbus-daemon]: 
[1]                   27 |@@@@@@@@@@@                                         |
[2, 4)               101 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@           |
[4, 8)                52 |@@@@@@@@@@@@@@@@@@@@@                               |
[8, 16)               15 |@@@@@@                                              |
[16, 32)             126 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[32, 64)              86 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                 |
[64, 128)              7 |@@                                                  |
[128, 256)             1 |                                                    |

@per_proc[migration/0]: 
[2, 4)                73 |@@@@@@@@@@@                                         |
[4, 8)               340 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)                1 |                                                    |
[16, 32)               1 |                                                    |
[32, 64)               0 |                                                    |
[64, 128)              0 |                                                    |
[128, 256)             0 |                                                    |
[256, 512)             1 |                                                    |

@per_proc[migration/2]: 
[2, 4)               348 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)                64 |@@@@@@@@@                                           |
[8, 16)                2 |                                                    |
[16, 32)               1 |                                                    |
[32, 64)               1 |                                                    |
[64, 128)              1 |                                                    |

@per_proc[kworker/3:0]: 
[0]                    5 |@                                                   |
[1]                   16 |@@@@@                                               |
[2, 4)               106 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                |
[4, 8)               149 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)               85 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                       |
[16, 32)              79 |@@@@@@@@@@@@@@@@@@@@@@@@@@@                         |
[32, 64)              58 |@@@@@@@@@@@@@@@@@@@@                                |
[64, 128)             30 |@@@@@@@@@@                                          |
[128, 256)             8 |@@                                                  |
[256, 512)             5 |@                                                   |
[512, 1K)              3 |@                                                   |
[1K, 2K)               2 |                                                    |
[2K, 4K)               2 |                                                    |
[4K, 8K)               0 |                                                    |
[8K, 16K)              3 |@                                                   |

@per_proc[kworker/u32:1]: 
[0]                   40 |@@@@@@@@                                            |
[1]                  246 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[2, 4)               227 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[4, 8)                30 |@@@@@@                                              |
[8, 16)               10 |@@                                                  |
[16, 32)               4 |                                                    |
[32, 64)               5 |@                                                   |
[64, 128)              2 |                                                    |
[128, 256)             2 |                                                    |
[256, 512)             0 |                                                    |
[512, 1K)              1 |                                                    |
[1K, 2K)               0 |                                                    |
